aika,arvo
2018-04-09 20:00:33,92.2
2018-04-09 20:01:34,86.8
2018-04-09 20:02:34,84.8
2018-04-09 20:03:34,85.1
2018-04-09 20:04:35,84.5
2018-04-09 20:05:35,83.3
2018-04-09 20:06:35,87
2018-04-09 20:07:36,87.7
2018-04-09 20:08:36,86.1
2018-04-09 20:09:37,86.3
2018-04-09 20:10:38,85
2018-04-09 20:11:39,82.6
2018-04-09 20:12:39,104.3
2018-04-09 20:13:40,102.6
2018-04-09 20:14:40,103.3
2018-04-09 20:15:41,105.1
2018-04-09 20:16:41,100.4
2018-04-09 20:17:41,104.5
2018-04-09 20:18:42,102.5
2018-04-09 20:19:42,104.3
2018-04-09 20:20:42,102.2
2018-04-09 20:21:42,102.8
2018-04-09 20:22:43,102
2018-04-09 20:23:43,104.4
2018-04-09 20:24:43,100.7
2018-04-09 20:25:43,101.3
2018-04-09 20:26:44,103
2018-04-09 20:27:45,103.5
2018-04-09 20:28:45,105.8
2018-04-09 20:29:46,101.6
2018-04-09 20:30:46,103.2
2018-04-09 20:31:46,100.7
2018-04-09 20:32:46,100.6
2018-04-09 20:33:47,100.3
2018-04-09 20:34:47,100.5
2018-04-09 20:35:47,101.5
2018-04-09 20:36:47,100.7
2018-04-09 20:37:48,100
2018-04-09 20:38:48,97.2
2018-04-09 20:39:49,98.7
2018-04-09 20:40:49,101.5
2018-04-09 20:41:49,101.5
2018-04-09 20:42:49,97.2
2018-04-09 20:43:50,100.5
2018-04-09 20:44:50,99.9
2018-04-09 20:45:51,101.1
2018-04-09 20:46:52,98.7
2018-04-09 20:47:53,96.4
2018-04-09 20:48:53,98.7
2018-04-09 20:49:53,96.6
2018-04-09 20:50:54,98.6
2018-04-09 20:51:55,96.7
2018-04-09 20:52:55,96.8
2018-04-09 20:53:55,97.4
2018-04-09 20:54:56,96.6
2018-04-09 20:55:56,97.3
2018-04-09 20:56:56,95.4
2018-04-09 20:57:56,97
2018-04-09 20:58:57,95.8
2018-04-09 20:59:58,96.6
2018-04-09 21:00:58,97
2018-04-09 21:01:59,94.1
2018-04-09 21:02:59,97.1
2018-04-09 21:03:59,96.8
2018-04-09 21:05:00,95.5
2018-04-09 21:06:00,94.2
2018-04-09 21:07:00,96.4
2018-04-09 21:08:00,94
2018-04-09 21:09:01,93.8
2018-04-09 21:10:02,93
2018-04-09 21:11:02,95.2
2018-04-09 21:12:03,93.9
2018-04-09 21:13:03,95
2018-04-09 21:14:03,95.7
2018-04-09 21:15:04,95.2
2018-04-09 21:16:04,92.1
2018-04-09 21:17:05,94
2018-04-09 21:18:05,95.2
2018-04-09 21:19:05,92.7
2018-04-09 21:20:05,92.8
2018-04-09 21:21:06,91.8
2018-04-09 21:22:06,96.1
2018-04-09 21:23:07,91
2018-04-09 21:24:07,92.9
2018-04-09 21:25:07,91.7
2018-04-09 21:26:07,90.9
2018-04-09 21:27:08,92.4
2018-04-09 21:28:08,94
2018-04-09 21:29:09,93.7
2018-04-09 21:30:09,93.4
2018-04-09 21:31:09,90.7
2018-04-09 21:32:10,89.3
2018-04-09 21:33:10,91
2018-04-09 21:34:11,90.2
2018-04-09 21:35:11,89.2
2018-04-09 21:36:12,89.9
2018-04-09 21:37:12,90.6
2018-04-09 21:38:12,89.8
2018-04-09 21:39:12,93.6
2018-04-09 21:40:13,87.8
2018-04-09 21:41:14,90.2
2018-04-09 21:42:14,90.1
2018-04-09 21:43:14,89.6
2018-04-09 21:44:15,90.2
2018-04-09 21:45:15,90.6
2018-04-09 21:46:16,89.2
2018-04-09 21:47:16,90.6
2018-04-09 21:48:16,89.5
2018-04-09 21:49:17,88.5
2018-04-09 21:50:17,89.7
2018-04-09 21:51:18,88.6
2018-04-09 21:52:18,89.2
2018-04-09 21:53:18,87
2018-04-09 21:54:19,88.8
2018-04-09 21:55:19,89.1
2018-04-09 21:56:20,88.5
2018-04-09 21:57:20,88.9
2018-04-09 21:58:20,87.1
2018-04-09 21:59:21,88
2018-04-09 22:00:22,87.9
2018-04-09 22:01:22,86.1
2018-04-09 22:02:22,88.1
2018-04-09 22:03:23,86.8
2018-04-09 22:04:23,88.3
2018-04-09 22:05:24,88
2018-04-09 22:06:25,87
2018-04-09 22:07:25,85
2018-04-09 22:08:25,87.4
2018-04-09 22:09:25,89.5
2018-04-09 22:10:26,90.4
2018-04-09 22:11:27,87.2
2018-04-09 22:12:27,86.8
2018-04-09 22:13:28,82.2
2018-04-09 22:14:28,84.1
2018-04-09 22:15:29,86.4
2018-04-09 22:16:29,86.2
2018-04-09 22:17:29,85.3
2018-04-09 22:18:30,82.4
2018-04-09 22:19:30,83.9
2018-04-09 22:20:30,83.2
2018-04-09 22:21:31,105.4
2018-04-09 22:22:31,104.4
2018-04-09 22:23:31,104.6
2018-04-09 22:24:32,104.5
2018-04-09 22:25:32,103.1
2018-04-09 22:26:32,102.7
2018-04-09 22:27:32,105.2
