aika,arvo
2018-06-01 00:08:39,30.2
2018-06-01 00:18:41,30.1
2018-06-01 00:28:41,30.1
2018-06-01 00:38:42,30
2018-06-01 00:48:43,30
2018-06-01 00:58:43,30
2018-06-01 01:08:44,29.9
2018-06-01 01:18:45,29.9
2018-06-01 01:28:46,29.9
2018-06-01 01:38:47,29.9
2018-06-01 01:48:47,29.8
2018-06-01 01:58:48,29.8
2018-06-01 02:08:49,29.8
2018-06-01 02:18:50,29.8
2018-06-01 02:28:51,29.7
2018-06-01 02:38:52,29.6
2018-06-01 02:48:53,29.6
2018-06-01 02:58:54,29.6
2018-06-01 03:08:55,29.6
2018-06-01 03:18:56,29.5
2018-06-01 03:28:57,29.5
2018-06-01 03:38:57,29.5
2018-06-01 03:48:59,29.5
2018-06-01 03:58:59,29.4
2018-06-01 04:09:00,29.4
2018-06-01 04:19:01,29.4
2018-06-01 04:29:02,29.3
2018-06-01 04:39:03,29.3
2018-06-01 04:49:04,29.3
2018-06-01 04:59:05,29.3
2018-06-01 05:09:06,29.3
2018-06-01 05:19:08,29.3
2018-06-01 05:29:09,29.3
2018-06-01 05:39:10,29.3
2018-06-01 05:49:10,29.3
2018-06-01 05:59:11,29.3
2018-06-01 06:09:13,29.2
2018-06-01 06:19:13,29.3
2018-06-01 06:29:15,29.2
2018-06-01 06:39:15,29.3
2018-06-01 06:49:16,29.3
2018-06-01 06:59:17,29.5
2018-06-01 07:09:18,29.6
2018-06-01 07:19:19,29.8
2018-06-01 07:29:20,29.9
2018-06-01 07:39:20,30
2018-06-01 07:49:21,30.1
2018-06-01 07:59:22,30.2
2018-06-01 08:09:23,30.3
2018-06-01 08:19:23,30.3
2018-06-01 08:29:24,30.4
2018-06-01 08:39:25,30.4
2018-06-01 08:49:26,30.4
2018-06-01 08:59:27,30.5
2018-06-01 09:09:28,30.7
2018-06-01 09:19:29,30.8
2018-06-01 09:29:30,31
2018-06-01 09:39:31,31.1
2018-06-01 09:49:32,31.2
2018-06-01 09:59:33,31.3
2018-06-01 10:09:35,31.4
2018-06-01 10:19:37,31.5
2018-06-01 10:29:37,31.5
2018-06-01 10:39:39,31.7
2018-06-01 10:49:40,31.7
2018-06-01 10:59:41,31.8
2018-06-01 11:09:41,31.8
2018-06-01 11:19:42,31.9
2018-06-01 11:29:43,31.9
2018-06-01 11:39:44,31.9
2018-06-01 11:49:46,32
2018-06-01 11:59:47,32
2018-06-01 12:09:49,32.1
2018-06-01 12:19:50,32.1
2018-06-01 12:29:51,32.2
2018-06-01 12:39:51,32.2
2018-06-01 12:49:53,32.3
2018-06-01 12:59:54,32.3
2018-06-01 13:09:55,32.3
2018-06-01 13:19:56,32.4
2018-06-01 13:29:57,32.4
2018-06-01 13:39:58,32.5
2018-06-01 13:50:00,32.5
2018-06-01 14:00:01,32.5
2018-06-01 14:10:02,32.5
2018-06-01 14:20:03,32.5
2018-06-01 14:30:04,32.6
2018-06-01 14:40:05,32.6
2018-06-01 14:50:06,32.7
2018-06-01 15:00:07,32.7
2018-06-01 15:10:08,32.8
