aika,value
2017-03-15 14:00:06,25.5
2017-03-15 14:00:16,25.5
2017-03-15 14:00:26,25.5
2017-03-15 14:00:36,25.5
2017-03-15 14:00:47,25.5
2017-03-15 14:00:57,25.5
2017-03-15 14:01:07,25.5
2017-03-15 14:01:17,25.5
2017-03-15 14:01:27,25.5
2017-03-15 14:01:38,25.5
2017-03-15 14:01:48,25.5
2017-03-15 14:01:58,25.5
2017-03-15 14:02:09,25.5
2017-03-15 14:02:19,25.5
2017-03-15 14:02:29,25.5
2017-03-15 14:02:39,25.5
2017-03-15 14:02:49,25.5
2017-03-15 14:02:59,25.5
2017-03-15 14:03:10,
2017-03-15 14:03:20,25.5
2017-03-15 14:03:30,25.5
2017-03-15 14:03:41,25.5
2017-03-15 14:03:51,25.5
2017-03-15 14:04:01,25.5
2017-03-15 14:04:11,25.5
2017-03-15 14:04:21,25.5
2017-03-15 14:04:32,25.5
2017-03-15 14:04:42,25.5
2017-03-15 14:04:52,25.5
2017-03-15 14:05:02,25.5
2017-03-15 14:05:12,25.5
2017-03-15 14:05:22,25.5
2017-03-15 14:05:33,25.5
2017-03-15 14:05:43,25.5
2017-03-15 14:05:53,25.5
2017-03-15 14:06:03,25.5
2017-03-15 14:06:13,25.5
2017-03-15 14:06:23,25.5
2017-03-15 14:06:34,25.5
2017-03-15 14:06:44,25.5
2017-03-15 14:06:54,25.5
2017-03-15 14:07:04,25.5
2017-03-15 14:07:14,25.5
2017-03-15 14:07:24,25.5
2017-03-15 14:07:35,25.75
2017-03-15 14:07:45,25.75
2017-03-15 14:07:56,25.5
2017-03-15 14:08:06,25.5
2017-03-15 14:08:16,25.5
2017-03-15 14:08:27,25.5
2017-03-15 14:08:37,25.5
2017-03-15 14:08:47,25.5
2017-03-15 14:08:57,25.5
2017-03-15 14:09:07,25.5
2017-03-15 14:09:18,25.75
2017-03-15 14:09:28,25.75
2017-03-15 14:09:39,25.75
2017-03-15 14:09:49,25.75
2017-03-15 14:09:59,25.75
2017-03-15 14:10:09,25.75
2017-03-15 14:10:19,25.75
2017-03-15 14:10:30,25.75
2017-03-15 14:10:40,25.75
2017-03-15 14:10:50,25.5
2017-03-15 14:11:00,25.5
